Id;Author;Title;Publisher;Year;Pages;Storage;Notes;CottageNumber
103;Звягин Ю.Ю.;Путь из варяг в греки. Тысячелетняя загадка истории.;М.;2009;240;3;ил.;
104;Тулупов В.Г.;Русь Новгородская.;М.;2009;288;3;;
105;Дёмин В.Н.;Уральская Гиперборея.;М.;2010;320;3;;
106;Ауэрбах Ш.;Генетика.;М.;1969;280;3;;
107;Абрашкин А.А.;Русский Дьявол: от Кощея до Воланда.;М.;2009;448;3;;
108;Грейгъ О.;Тайна за 107 печатями, или Наша разведка против масонов.;М.;2009;352;3;;
109;Велецкая Н.Н.;Символы славянского язычества.;М.;2009;320;3;;
110;Ларионов В.Е.;Скифская Русь: Таинственный исток славянской расы.;М.;2009;464;3;ил.;
111;Комосса Г.-Х.;Немецкая карта: Тайная игра секретных служб: Бывший глава Службы военной контрразведки рассказывает…;М.;2009;317;3;;
112;Ахметов С.Ф.;Искусственные кристаллы граната.;М.;1982;96;3;;
113;Зоммер К.;Аккумулятор знаний по химии.;М.;1977;296;3;;
114;;Справочник химика. Том 1. Общие сведения. Элементы и строение материи. Свойства важнейших веществ. Таблицы спектральных и рентгено-спектральных линий.;Л.-М.;1951;896;3;;
115;;Справочник химика. Том 2. Основные свойства неорганических и органических соединений.;Л.-М.;1951;1150;3;;
116;;Справочник химика. Том 3. Химическое равновесие и кинетика. Растворы. Электрохимия. Аналитическая и техническая химия.;Л.-М.;1952;1194;3;;
117;;Справочник химика. Том 4. Аналитическая химия. Спектральный анализ. Показатели преломления.;Л.;1967;920;3;;
118;;Справочник химика. Том 5. Сырье и продукты промышленности неорганических веществ. Процессы и аппараты. Корозия. Гальванотехника. Химические источники тока.;Л.-М.;1968;976;3;;
119;;Справочник химика. Том 6. Сырье и продукты промышленности органических веществ.;Л.;1967;1012;3;;
120;Черкашин Н.А.;Адмирал. Трагическая судьба Колчака.;М.;2009;432;3;ил.;
121;Головин Н.Н.;Наука о войне: избранные сочинения.;М.;2008;1008;3;;
122;Федотов Г.Я.;Дерево.;М.;2005;272;3;ил.;
123;Богатырев Е.Е.;Домовая резьба.;М.;2000;384;3;;
124;;Новейший справочник плотника-столяра.;М.;2007;240;3;;
125;Шокарев Ю.В.;Луки и арбалеты.;М.;2001;176;3;ил.;
126;Под ред. А.И. Немировского;Книга для чтения по истории древнего мира: Пособие для учащихся.;М.;1981;304;4;ил.;
127;Авт.-сост. М.Б. Ладыгин и др.;Литература. 7 класс. Учебная хрестоматия для школ и классов с углубленным изучением литературы, гимназий и лицеев.;М.;2000;480;4;;
128;Александер Л.;Книга Трех: Сказочная хроника.;М.;1995;237;4;ил.;
129;Алексин А.Г.;Саша и Шура. Повесть.;М.;1965;224;4;;
130;Емец Д.А.;Компьютер звезной империи: Фантастическая повесть.;М.;1998;264;4;ил.;
131;Миронова Т.Л.;Необычайное путешествие в Древнюю Русь. Грамматика древнерусского языка для детей.;М.;1994;256;4;ил.;
132;Зайцева С.Д.;Англия в далеком прошлом.;М.;1975;254;4;ил.;
133;Толкиен Д.Р.Р.;Хоббит, или Туда и обратно.;М.;2003;560;4;ил.;
134;Поттер Г.;Энциклопедия начинающего мага.;Харьков.;2003;334;4;;
135;Хэнкок Г., Бьювэл Р.;Загадка Сфинкса, или Хранитель бытия.;М.;1999;400;4;;
136;Малов В.И.;Хочу все знать: Детская энциклопедия: Корабли и моряки.;М.;2000;320;4;ил.;
137;Бочек А.П.;Всю жизнь с морем.;М.;1969;304;4;;
138;Вильмонт Е.Н.;Хитрый ход. Повесть.;М.;2000;208;4;ил.;
139;Comp. Dubrovin;The everyday english almanac for boys and girls.;M.;1973;222;4;;
140;Екатерина Дашкова.;Записки 1743 - 1810.;Л.;1985;288;4;;
141;Скрынников Р.Г.;Борис Годунов.;М.;1978;192;4;ил.;
142;;"Американские ""возможности"". Рассказы прогрессивных американских писателей.";М.;1952;52;4;;
143;Романовский П.А.;Миттельшпиль. План.;М.;1960;264;4;;
144;Дуэйн Д.;Глубокое волшебство: Фантастическая повесть.;М.;1995;269;4;ил.;
145;;Русско-английский разговорник;М.;1957;176;4;ил.;
146;Дуэйн Д.;Высокое волшебство: Фантастичесая повесть.;М.;1995;285;4;ил.;
147;Кудрявцев М.М., Неверов С.В., Бонди Е.А.;Русско-английский разговорник. СССР - Англия. 3-е изд.;М.;1962;264;4;;
148;Полбенникова О.Ю., Яковлев И.Г.;Справочник пользователя IBM PC для школьников.;М.;2002;320;4;;
149;Биболетова М.З. и др.;Enjoy English-1: Учебник англ. яз. для нач. шк.;Обнинск.;2000;144;4;ил.;
150;Ступин Ю.В., Семененко В.А.;Основы програмирования: Учебное пособие для ПТУ.;М.;1987;240;4;ил.;
151;Толкин Дж.;Сильмариллион.;М.;2003;428;4;;
152;Ян В.;Финикийский корабль.;М.;1990;480;4;;
153;Твен М.;Том Сойер - сыщик.;М.;2001;240;4;;
154;Твен М.;Приключения Тома Сойера. Повесть.;М.;2000;256;4;;
155;Целлариус А.Ю.;Хочу все знать: Змеи, черепахи, крокодилы.;М.;2000;256;4;ил.;
156;Сост. О. Вакса.;Все, что должны знать мальчишки: Книга для мальчиков и родителей.;М.;1999;416;4;ил.;
157;Шишова З.К.;Великое плавание. Истьричекий роман.;М.;1972;336;4;;
158;Рожкова Е.Е., Макоед Л.Л.;Изобразительное искусство. VI класс.;М.;1968;255;4;ил.;
159;Сост. Петрушеня З.П.;Сказки зарубежных писателей.;Мн.;1986;477;4;ил.;
160;Сост. Бенякова М.В.;Энциклопедия для мальчиков.;Спб.;1994;448;4;ил.;
161;Бородин А.;"Князь Игорь. Опера в 3-х действиях с прологом. Либретто А. Бородина по русской эпической поэме XIIв. "" Слово о полку Игореве"".";Новосибирск.;2009;52;4;ил.;
162;Згут М.А.;Мой друг магнитофон. Изд. 3-е, перераб. и доп.;М.;1982;224;4;ил.;
163;Глуховский Д.А.;Метро 2034. роман.;М.;2009;445;4;;
164;Рябинин.Б.С.;Друг, воспитанный тобой.;Новосибирск.;1977;216;4;ил.;
165;Ортис Х.Р.;Тайна опаловой шкатулки. Повесть.;М.;1989;126;4;ил.;
166;Таммасааре А.Х.;Наш лисенок. Повесть.;Таллин.;1986;112;4;ил.;
167;Дорин М.Э.;Литературный цитатник.;М.;1992;36;4;;
168;Ларри Я.Л.;Необыкновенные приключения Карика и Вали. Повесть.;Л.;1987;288;4;ил.;
169;Ферсман А.Е.;Занимательная геохимия.;М.;1954;488;4;ил.;
170;Маркуша А.М.;Мужчинам до 16 лет.;Новосибирск.;1984;344;4;ил.;
171;Фойц С.;Windows 3.1 для пользователя.;Киев.;1995;560;4;ил.;
172;Федоскина Н.С.;Подробный разбор заданий из сборника по физике .7-9 классы.;М.;2005;288;4;;
173;Сост. Коньяков В.;Наедине с природой. Сб. рассказов.;Новосибирск.;1978;248;4;;
174;Пратчетт Т.;Кот без прикрас;М.;2009;160;5;;
175;Хэрриот Дж.;Кошачьи истории;М.;2000;180;5;ил.;
176;Непомнящий Н.Н.;Кошачьи тайны.;М.;1999;192;5;ил.;
177;Хантер Э.;Первые испытания.;М.;2009;304;5;;
178;Хантер Э.;Стань диким!;М.;2003;319;5;Коты-воители.;
179;Хантер Э.;Огонь и лед.;М.;2003;319;5;Коты-воители.;
180;Хантер Э.;Лес секретов.;М.;2003;318;5;Коты-воители.2 экземпляра.;
181;Хантер Э.;Бушующая стихия.;М.;2003;318;5;Коты-воители.;
182;Хантер Э.;Опасная тропа.;М.;2004;384;5;Коты-воителм.;
183;Хантер Э.;Битва за лес.;М.;2004;351;5;Коты-воителм.;
184;Хантер Э.;Новое пророчество. Книга 1: Полночь.;М.;2005;348;5;Коты-воители.;
185;Хантер Э.;Новое пророчество. Книга 2: Восход луны.;М.;2005;352;5;Коты-воители.;
186;Хантер Э.;Новое пророчество. Книга 3: Рассвет.;М.;2005;384;5;Коты-воители.;
187;Хантер Э.;Звездный свет.;М.;2006;320;5;Коты-воители.;
188;Хантер Э.;Сумерки.;М.;2006;319;5;Коты-воители.;
189;Хантер Э.;Закат.;М.;2007;320;5;Коты-воители.;
190;Хантер Э.;Послание.;М.;2007;352;5;Коты-воители.;
191;Хантер Э.;Знак трех.;М.;2008;352;5;Коты-воители.;
192;Хантер Э.;Темная река.;М.;2008;320;5;Коты-воители.;
193;Хантер Э.;Отверженные.;М.;2009;350;5;Коты-воители.;
194;Хантер Э.;Затмение.;М.;2009;352;5;Коты-воители.;
195;Хантер Э.;Длинные тени.;М.;2009;320;5;Коты-воители.;
196;Хантер Э.;Восход солнца.;М.;2010;352;5;Коты-воители.;
197;Дворкин А.Л.;Сектоведение. Тоталитарные секты.Опыт систематического исследования. Изд 3-е, перераб., доп.;Нижний Новгород;2007;816;6;;
198;Дикий А.;Красная свитка: неизвращенная история Украины-Руси от запорожцев до коммунистов.;М.;2007;448;6;;
199;Кутузов Б.П.;Тайная миссия патриарха Никона.;М.;2007;528;6;;
200;Кищенко Б.И.;Пристенная культура винограда.;М.;2004;158;6;ил.;
201;Кузнецов А.В.;Край родной Новосибирский.;Новосибирск;1985;80;6;ил.;
202;Цветов В.Я.;Пятнадцатый камень сада Рёандзи.;М.;1986;302;6;ил.;
203;Иноземцев В.В., Зотова З.Я.;Ежевика в вашем саду.;Спб.;1992;94;6;;
204;Кожинов В.В.;"Правда ""черной сотни"".";М.;2006;384;6;;
205;Клэйвел Дж.;Сёгун. Роман.;М.;1999;815;6;;
206;Ёсикава Э.;Мусаси. Роман.;М.;2006;1070;6;;
207;Сост. Р. Светлова.;Искусство Войны: Антология. В 2 кн. Кн. 1. Древний мир.;Спб.;2000;397;6;;
208;Сост. Р. Светлова.;Искусство Войны: Антология. В 2 кн. Кн. 2. Новое время.;Спб.;2000;493;6;;
211;Беккерт М.;Железо. Факты и легенды.;М.;1984;232;6;;
212;Гродненский Н.Н.;Первая чеченская: история вооруженного конфликта.;Мн.;2008;720;6;;
213;Сост. Шумов С.А.;История Валаама. Солнце Ладоги.;М.;2005;352;6;;
214;Новгородов Н.С.;Сибирское Лукоморье.;М.;2007;352;6;;
215;Можейко И.В.;7 из 37 чудес света. От Эллады до Китая.;М.;2008;416;6;;
216;Писарская Л.В.;Оружейная палата. Изд. 5-е.;М.;1979;240;6;ил.;
217;Иванченко В.А.;Тайны русского закала.;М.;1985;173;6;ил.;
218;Хрюков В.В., Кошелев А.И.;Совы.;Алма-Ата.;1985;168;6;;
219;;Красота вашего дома: Руководство для домовладельцев, столяров, плотников.;М.;1993;96;6;;
220;Муравьева О.С.;Как воспитывали русского дворянина.;М.;1995;272;6;;
221;Никитин В.А.;Святейший Патриарх Алексей II. Жизнь и деяния во славу Божию.;М.;2009;637;6;;
222;Лец С.Е.;Непричесанные мысли, или В начале было слово.;Екатеринобург.;2009;416;6;;
223;Кудрявцев Н.А.;ГОСУДАРЕВО ОКО. Тайная дипломатия и разведка на службе России.;Спб.;2002;640;6;;
224;Кук Э.;Сидней Рейли. На тайной службе Его Величества.;М.;2004;448;6;ил.;
225;Бадак А.Н., Войнич И.Е., Волчек Н.М. и др.;Всемирная история: Итоги первой мировой войны.;М.;2001;512;6;;
226;Ямщиков С.В.;Бремя русских.;М.;2008;368;6;;
227;Matveyev N.K.;English for beginners.;М.;1965;;6;;
228;Хорват Ф., Орлик Ю.;Вежливость на каждый день.;М.;1981;192;6;ил.;
229;Стригин Е.М.;Предавшие СССР.;М.;2005;416;6;;
230;Водолеев Г.С.;Люди и спецслужбы.;Спб.;2008;448;6;;
231;Сухотина-Толстая Т.Л.;Дневник.;М.;1984;559;6;;
232;Можейко И.В.;1185 год. Восток - Запад.;М.;1989;524;6;ил.;
233;Еремин Г.В.;Слива и алыча.;Харьков.;2003;302;6;;
234;Сингх С.;Книга шифров: тайная история шифров и их расшифровки.;М.;2007;447;6;ил. 2 экз.;
235;Мак-Клейн Дж. Л.;Япония. От сегуната Токугавы - в XXI век.;М.;2006;895;6;ил.;
236;Шамбаров В.Е.;Тайна воцарения Романовых.;М.;2007;592;6;;
237;Манягин В.Г.;Правда Грозного царя.;М.;2006;256;6;;
238;Королев В.Н.;Босфорская война.;М.;2007;608;6;ил.;
239;Афанасенко И.Д.;Есть ли будующее у русской цивилизации?;Спб.;2007;384;6;ил.;
240;Широкорад А.Б.;Дмитрий Пожарский против Михаила романова. Загадка 4 ноября.;М.;2005;416;6;ил.;
241;Кожинов В.В.;Грех и святость русской истории.;М.;2006;480;6;;
242;Гогун А.;Между Гитлером и Сталиным. Украинские повстанцы.;Спб.;2004;416;6;;
243;Фоломкин А.Г.;Виноград в Сибири.;Новосибирск.;2005;72;6;ил.;
244;Курдюмов Н.И.;Умный сад в подробностях: Садовая успехология для дачников и дачниц.;Краснодар.;1999;271;6;ил.;
245;Кирчик Я.Т.;Виноград в Сибири.;Новосибирск;1990;120;6;;
246;;Виноград. Практическое пособие.;Донецк;2000;256;6;ил.;
247;Шамбаров В.Е.;Нашествие чужих: заговор против империи.;М.;2007;608;6;;
248;Дёмин В.Н.;Северная прародина Руси.;М.;2007;576;6;;
249;;Проект Россия. Вторая книга. Выбор пути.;М.;2007;448;6;;
250;Скорцени О.;Неизвестная война.;М.;2003;576;6;вкл. 16 с.;
251;Ляховский А.;Трагедия и доблесть Афгана.;М.;2009;1088;6;ил.;
252;Сост. Матвеев В.;Виноград: От черенка до вина.;Смоленск;2004;64;6;;
253;Паршев А.П.;Почему Россия не Америка. Книга для тех, кто остается здесь.;М.;2002;416;6;;
254;Карпец В.И.;Русь Меровингов и корень Рюрика.;М.;2006;512;6;;
255;Мельник К.К.;Современная разведка и шпионаж. В воспоминаниях человека-легенды спецслужб.;М.;2009;512;6;ил.;
256;Мельчуков А.Е.;В мире ориентиров.;М.;1978;296;6;;
257;Лыкошин Н.С.;Хороший тон на Востоке.;М.;2005;223;6;64 л. ил.;
258;Покровский Г.И.;Взрыв. Изд. 4-е, перераб. доп.;М.;1980;190;6;;
259;Трачун А.И.;Зеркальный фотоаппарат как система.;М.;1986;157;6;рис.;
260;Гагман Н.А.;Фотографирование произведений искусства. Изд. 2-е.;М.;1975;136;6;ил.;
261;Север А.;""" Смерть шпионам!"" Военная контрразведка СМЕРШ в годы Великой Отечественной войны.";М.;2008;480;6;;
262;Авт.-сост. Горбов А.М.;Клеи, герметики, мастики.;М.;2004;235;6;ил.;
263;Манеров В.Б., Каверинский В.С., Ермилов С.П., Прудниченко Ф.И.;Химия для Вас. Лаки и краски в Вашем доме: Справ. изд.;М.;1989;208;6;ил.;
264;Лойко Р.Э.;Северный виноград.;М.;2003;256;6;ил.;
265;Казаков Ю.П.;Поедемте в Лопшньгу.;М.;1983;560;6;;
266;Клавелл Дж.;Гайдзин. Роман.;Спб.;2009;1231;6;;
267;Иванов А;Message: Чусовая.;Спб.;2007;480;6;;
268;Леонтьев М.;Большая Игра.;М.;2008;319;6;ил.;
269;Косолапов Р.И.;С  чего начинается личность.;М.;1984;360;6;;
270;Калугин А.А.;Дом на болоте: Фантастический роман.;М.;2007;384;7;;
271;;Не Сволочи, или Дети-разведчики в тылу врага.;М.;2006;480;7;;
272;Сейфер Марк;Никола Тесла. Повелитель Вселенной.;М.;2007;608;7;;
273;Емец Д.А.;Мефодий Буслаев. Третий всадник мрака: Повесть.;М.;2005;416;7;;
274;Самин Д.К.;100 великих научных открытий.;М.;2003;480;7;;
275;Шкловский В.Б.;Энергия заблуждения. Книга о сюжете.;М.;1981;352;7;;
276;Гальперштейн Л.Я.;Здравствуй, физика!;М.;1973;207;7;ил.;
277;Щербаков В.Г., Щербаков Д.Г.;Ловля на воблеры.;Мн.;2000;64;7;ил.;
278;Прутков Козьма;Сочинения Козьмы Пруткова.;М.;1987;335;7;;
279;Балашов Д.М.;Младший сын: ист. роман.;М.;2006;637;7;;
280;Семенова М., Разумовский Ф.;Кудеяр. Аленький цветочек. Роман.;Спб.;2007;576;7;;
281;Семенова М., Разумовский Ф.;Кудеяр: Вавилонская башня. Роман.;Спб.;2007;448;7;;
282;Семенова М., Разумовский Ф.;"Ошибка ""2012"". Игра нипочём. Роман.";Спб.;2008;384;7;;
283;СеменоваМ., Тедеев Д.;Бусый Волк: фантаст. роман.;Спб.;2007;349;7;;
284;Пейвер М.;Брат Волк. Приключенческая повесть.;М.;2005;304;7;;
285;Пейвер М.;Сердце Волка: Приключенческая повесть.;М.;2008;336;7;;
286;Кервуд Дж. О.;Казан, благородный волк: повести.;Спб.;2005;480;7;;
287;Обручев В.А.;Земля Санникова: роман.;М.;2001;320;7;ил.;
288;Безруков В.;Есенин:роман.;Спб.;2005;644;7;;
289;Смолка Карл.;Правила хорошего тона.;М.;1980;272;7;;
290;Семенова М.;Волкодав: роман.;М.;2004;571;7;;
291;Семенова М.;Волкодав.Право н поединок: роман.;М.;2007;570;7;;
292;Семенова М.;Волкодав. Истовик-камень.: роман.;М.;2003;377;7;;
293;Семенова М.;Волкодав. Знамение пути. Самоцветные горы: романы.;М.;2004;698;7;;
294;Молитвин П.;Спутники Волкодава:роман.;Спб.;2007;608;7;;
295;Молитвин П.;Спутники Волкодава. Путь Эвриха: роман.;Спб.;2007;464;7;;
296;Молитвин П.;Ветер удачи: роман.;Спб.;2001;448;7;;
297;Молитвин П.;Спутники Волкодава. Тень императора: роман.;Спб.;2007;448;7;;
298;Семенова М.;Поединок со Змеем: Мифологический роман.;Спб.;2007;400;7;;
299;Семенова М.;Ведун: повести, рассказы.;Спб.;2008;400;7;;
300;Семенова М., Константинов А.;Меч Мёртвых: роман.;Спб.;2007;448;7;;
301;Семенова М.;Там, где лес не растет: фантастический роман.;Спб.;2007;480;7;;
302;Джейкс Б.;Воин Рэдвола.;Спб.;2004;368;8;;
303;Джейкс Б.;Война с Котиром.;Спб.;2003;400;8;;
304;Джейкс Б.;Поход Метиаса.;Спб.;2002;400;8;;
305;Джейкс Б.;Мэриел из Рэдвола.;Спб.;2003;368;8;;
306;Джейкс Б.;Саламандастрон.;Спб.;2003;368;8;;
307;Джейкс Б.;Мартин Воитель.;Спб.;2003;400;8;;
308;Джейкс Б.;Колокол Джозефа.;Спб.;2005;320;8;;
